"","id","trial","x","y","z","out","cond"
"1",1,1,4,3,3,23,"active"
"2",1,2,4,4,2,28,"active"
"3",1,3,2,4,3,23,"active"
"4",1,4,3,3,4,21,"active"
"5",1,5,4,2,2,16,"active"
"6",1,6,4,4,3,29,"active"
"7",1,7,4,4,4,30,"active"
"8",1,8,3,4,2,25,"active"
"9",1,9,2,4,4,24,"active"
"10",1,10,4,3,4,24,"active"
"11",1,11,3,4,3,26,"active"
"12",1,12,4,3,2,22,"active"
"13",1,13,2,2,2,10,"active"
"14",1,14,3,2,2,13,"active"
"15",1,15,3,2,4,15,"active"
"16",1,16,2,3,3,17,"active"
"17",1,17,2,2,4,12,"active"
"18",1,18,3,3,3,20,"active"
"19",1,19,4,2,3,17,"active"
"20",1,20,2,3,2,16,"active"
"21",1,21,2,2,3,11,"active"
"22",1,22,2,4,2,22,"active"
"111",2,1,4,2,3,18,"active"
"112",2,2,4,4,4,30,"active"
"113",2,3,2,2,4,22,"active"
"114",2,4,4,2,2,12,"active"
"115",2,5,4,4,3,24,"active"
"116",2,6,4,3,4,27,"active"
"117",2,7,3,3,4,26,"active"
"118",2,8,3,2,3,17,"active"
"119",2,9,3,3,2,14,"active"
"120",2,10,2,3,3,19,"active"
"121",2,11,3,4,2,17,"active"
"122",2,12,3,2,4,23,"active"
"123",2,13,2,4,3,22,"active"
"124",2,14,3,4,3,23,"active"
"125",2,15,3,4,4,29,"active"
"126",2,16,2,3,4,25,"active"
"127",2,17,2,2,3,16,"active"
"128",2,18,2,3,2,13,"active"
"129",2,19,4,3,2,15,"active"
"130",2,20,4,4,2,18,"active"
"131",2,21,3,3,3,20,"active"
"132",2,22,4,2,4,24,"active"
"155",3,1,4,4,2,28,"active"
"156",3,2,4,4,3,29,"active"
"157",3,3,2,3,2,16,"active"
"158",3,4,3,3,3,20,"active"
"159",3,5,4,2,2,16,"active"
"160",3,6,3,2,3,14,"active"
"161",3,7,3,2,4,15,"active"
"162",3,8,2,3,4,18,"active"
"163",3,9,4,3,2,22,"active"
"164",3,10,2,4,4,24,"active"
"165",3,11,2,2,4,12,"active"
"166",3,12,2,3,3,17,"active"
"167",3,13,4,4,4,30,"active"
"168",3,14,3,4,3,26,"active"
"169",3,15,3,3,2,19,"active"
"170",3,16,3,3,4,21,"active"
"171",3,17,4,3,3,23,"active"
"172",3,18,4,2,3,17,"active"
"173",3,19,2,2,2,10,"active"
"174",3,20,3,4,2,25,"active"
"175",3,21,4,3,4,24,"active"
"176",3,22,2,2,3,11,"active"
"199",4,1,3,4,3,26,"active"
"200",4,2,2,3,3,19,"active"
"201",4,3,3,4,2,23,"active"
"202",4,4,4,3,3,21,"active"
"203",4,5,3,2,2,11,"active"
"204",4,6,4,4,2,24,"active"
"205",4,7,3,4,4,29,"active"
"206",4,8,2,4,2,22,"active"
"207",4,9,4,4,3,27,"active"
"208",4,10,4,2,4,18,"active"
"209",4,11,4,3,2,18,"active"
"210",4,12,4,4,4,30,"active"
"211",4,13,4,2,2,12,"active"
"212",4,14,3,2,4,17,"active"
"213",4,15,4,3,4,24,"active"
"214",4,16,2,4,3,25,"active"
"215",4,17,3,3,2,17,"active"
"216",4,18,2,2,3,13,"active"
"217",4,19,2,2,4,16,"active"
"218",4,20,2,4,4,28,"active"
"219",4,21,2,3,2,16,"active"
"220",4,22,2,2,2,10,"active"
"265",5,1,4,4,4,30,"active"
"266",5,2,4,4,3,24,"active"
"267",5,3,2,4,4,24,"active"
"268",5,4,3,4,4,27,"active"
"269",5,5,4,3,3,23,"active"
"270",5,6,4,4,2,18,"active"
"271",5,7,2,2,2,10,"active"
"272",5,8,3,3,4,26,"active"
"273",5,9,4,3,4,29,"active"
"274",5,10,3,4,3,21,"active"
"275",5,11,4,3,2,17,"active"
"276",5,12,4,2,2,16,"active"
"277",5,13,2,3,4,23,"active"
"278",5,14,3,4,2,15,"active"
"279",5,15,3,2,3,19,"active"
"280",5,16,4,2,4,28,"active"
"281",5,17,2,4,3,18,"active"
"282",5,18,2,2,3,16,"active"
"283",5,19,4,2,3,22,"active"
"284",5,20,3,2,4,25,"active"
"285",5,21,2,4,2,12,"active"
"286",5,22,2,3,2,11,"active"
"287",6,1,2,3,3,19,"active"
"288",6,2,4,2,2,12,"active"
"289",6,3,2,4,3,25,"active"
"290",6,4,3,3,2,17,"active"
"291",6,5,2,4,4,28,"active"
"292",6,6,2,2,4,16,"active"
"293",6,7,3,3,4,23,"active"
"294",6,8,3,4,4,29,"active"
"295",6,9,4,2,4,18,"active"
"296",6,10,2,2,3,13,"active"
"297",6,11,4,3,4,24,"active"
"298",6,12,3,3,3,20,"active"
"299",6,13,4,2,3,15,"active"
"300",6,14,4,4,4,30,"active"
"301",6,15,2,3,4,22,"active"
"302",6,16,4,4,3,27,"active"
"303",6,17,4,4,2,24,"active"
"304",6,18,2,3,2,16,"active"
"305",6,19,2,2,2,10,"active"
"306",6,20,2,4,2,22,"active"
"307",6,21,3,2,3,14,"active"
"308",6,22,3,4,2,23,"active"
"309",7,1,2,3,4,25,"active"
"310",7,2,2,3,2,13,"active"
"311",7,3,4,2,2,12,"active"
"312",7,4,2,2,3,16,"active"
"313",7,5,2,4,2,16,"active"
"314",7,6,3,4,2,17,"active"
"315",7,7,3,3,3,20,"active"
"316",7,8,4,4,4,30,"active"
"317",7,9,3,3,4,26,"active"
"318",7,10,2,4,3,22,"active"
"319",7,11,4,4,3,24,"active"
"320",7,12,3,3,2,14,"active"
"321",7,13,4,3,4,27,"active"
"322",7,14,3,2,3,17,"active"
"323",7,15,2,2,2,10,"active"
"324",7,16,4,3,3,21,"active"
"325",7,17,3,2,4,23,"active"
"326",7,18,2,2,4,22,"active"
"327",7,19,3,4,4,29,"active"
"328",7,20,4,2,3,18,"active"
"329",7,21,3,4,3,23,"active"
"330",7,22,4,4,2,18,"active"
"353",8,1,2,4,4,28,"active"
"354",8,2,4,4,4,30,"active"
"355",8,3,2,2,2,10,"active"
"356",8,4,3,3,3,20,"active"
"357",8,5,2,2,3,16,"active"
"358",8,6,2,3,2,13,"active"
"359",8,7,3,3,2,14,"active"
"360",8,8,4,4,3,24,"active"
"361",8,9,4,3,2,15,"active"
"362",8,10,3,4,4,29,"active"
"363",8,11,2,4,2,16,"active"
"364",8,12,3,2,4,23,"active"
"365",8,13,4,2,2,12,"active"
"366",8,14,2,2,4,22,"active"
"367",8,15,3,4,3,23,"active"
"368",8,16,3,2,3,17,"active"
"369",8,17,4,4,2,18,"active"
"370",8,18,2,4,3,22,"active"
"371",8,19,4,2,3,18,"active"
"372",8,20,3,2,2,11,"active"
"373",8,21,2,3,4,25,"active"
"374",8,22,4,3,3,21,"active"
"397",9,1,3,4,4,27,"active"
"398",9,2,4,2,4,28,"active"
"399",9,3,2,2,2,10,"active"
