"","id","trial","x","y","z","out","cond"
"1",1,1,4,3,3,23,"active"
"2",1,2,4,4,2,28,"active"
"3",1,3,2,4,3,23,"active"
"4",1,4,3,3,4,21,"active"
"5",1,5,4,2,2,16,"active"
"6",1,6,4,4,3,29,"active"
"7",1,7,4,4,4,30,"active"
"8",1,8,3,4,2,25,"active"
"9",1,9,2,4,4,24,"active"
"10",1,10,4,3,4,24,"active"
"11",1,11,3,4,3,26,"active"
"12",1,12,4,3,2,22,"active"
"13",1,13,2,2,2,10,"active"
"14",1,14,3,2,2,13,"active"
"15",1,15,3,2,4,15,"active"
"16",1,16,2,3,3,17,"active"
"17",1,17,2,2,4,12,"active"
"18",1,18,3,3,3,20,"active"
"19",1,19,4,2,3,17,"active"
"20",1,20,2,3,2,16,"active"
"21",1,21,2,2,3,11,"active"
"22",1,22,2,4,2,22,"active"
"23",2,1,2,2,2,10,"passive"
"24",2,2,2,4,4,18,"passive"
"25",2,3,4,2,2,22,"passive"
"26",2,4,3,4,4,24,"passive"
"27",2,5,4,4,3,27,"passive"
"28",2,6,3,2,2,16,"passive"
"29",2,7,3,3,3,20,"passive"
"30",2,8,2,3,4,17,"passive"
"31",2,9,3,2,3,19,"passive"
"32",2,10,2,3,2,11,"passive"
"33",2,11,2,3,3,14,"passive"
"34",2,12,2,4,2,12,"passive"
"35",2,13,4,3,2,23,"passive"
"36",2,14,4,4,2,24,"passive"
"37",2,15,3,2,4,22,"passive"
"38",2,16,3,4,2,18,"passive"
"39",2,17,4,3,4,29,"passive"
"40",2,18,2,4,3,15,"passive"
"41",2,19,2,2,4,16,"passive"
"42",2,20,3,3,2,17,"passive"
"43",2,21,4,2,3,25,"passive"
"44",2,22,3,4,3,21,"passive"
"45",3,1,2,2,4,22,"passive"
"46",3,2,3,4,3,23,"passive"
"47",3,3,3,2,4,23,"passive"
"48",3,4,3,2,3,17,"passive"
"49",3,5,2,4,2,16,"passive"
"50",3,6,4,2,3,18,"passive"
"51",3,7,2,2,3,16,"passive"
"52",3,8,2,2,2,10,"passive"
"53",3,9,4,3,4,27,"passive"
"54",3,10,4,3,3,21,"passive"
"55",3,11,2,3,3,19,"passive"
"56",3,12,2,3,4,25,"passive"
"57",3,13,4,4,3,24,"passive"
"58",3,14,3,4,2,17,"passive"
"59",3,15,4,2,4,24,"passive"
"60",3,16,4,4,2,18,"passive"
"61",3,17,4,2,2,12,"passive"
"62",3,18,3,3,3,20,"passive"
"63",3,19,4,4,4,30,"passive"
"64",3,20,2,4,3,22,"passive"
"65",3,21,2,3,2,13,"passive"
"66",3,22,4,3,2,15,"passive"
"67",4,1,4,3,2,18,"passive"
"68",4,2,3,4,2,23,"passive"
"69",4,3,2,4,2,22,"passive"
"70",4,4,2,4,4,28,"passive"
"71",4,5,4,2,2,12,"passive"
"72",4,6,2,2,3,13,"passive"
"73",4,7,3,2,4,17,"passive"
"74",4,8,3,3,4,23,"passive"
"75",4,9,4,3,3,21,"passive"
"76",4,10,3,3,3,20,"passive"
"77",4,11,4,2,3,15,"passive"
"78",4,12,3,2,3,14,"passive"
"79",4,13,2,4,3,25,"passive"
"80",4,14,3,4,3,26,"passive"
"81",4,15,2,3,2,16,"passive"
"82",4,16,4,4,4,30,"passive"
"83",4,17,2,2,4,16,"passive"
"84",4,18,2,2,2,10,"passive"
"85",4,19,4,4,3,27,"passive"
"86",4,20,2,3,3,19,"passive"
"87",4,21,4,3,4,24,"passive"
"88",4,22,4,4,2,24,"passive"
"89",5,1,3,2,3,14,"passive"
"90",5,2,4,4,3,27,"passive"
"91",5,3,3,2,2,11,"passive"
"92",5,4,4,3,2,18,"passive"
"93",5,5,2,2,3,13,"passive"
"94",5,6,2,3,4,22,"passive"
"95",5,7,3,4,4,29,"passive"
"96",5,8,3,2,4,17,"passive"
"97",5,9,3,4,3,26,"passive"
"98",5,10,3,3,2,17,"passive"
"99",5,11,2,3,3,19,"passive"
"100",5,12,2,4,4,28,"passive"
"101",5,13,2,2,4,16,"passive"
"102",5,14,3,3,3,20,"passive"
"103",5,15,2,3,2,16,"passive"
"104",5,16,2,4,2,22,"passive"
"105",5,17,3,3,4,23,"passive"
"106",5,18,3,4,2,23,"passive"
"107",5,19,2,2,2,10,"passive"
"108",5,20,4,2,4,18,"passive"
"109",5,21,4,2,2,12,"passive"
"110",5,22,4,2,3,15,"passive"
"111",6,1,4,2,3,18,"active"
"112",6,2,4,4,4,30,"active"
"113",6,3,2,2,4,22,"active"
"114",6,4,4,2,2,12,"active"
"115",6,5,4,4,3,24,"active"
"116",6,6,4,3,4,27,"active"
"117",6,7,3,3,4,26,"active"
"118",6,8,3,2,3,17,"active"
"119",6,9,3,3,2,14,"active"
"120",6,10,2,3,3,19,"active"
"121",6,11,3,4,2,17,"active"
"122",6,12,3,2,4,23,"active"
"123",6,13,2,4,3,22,"active"
"124",6,14,3,4,3,23,"active"
"125",6,15,3,4,4,29,"active"
"126",6,16,2,3,4,25,"active"
"127",6,17,2,2,3,16,"active"
"128",6,18,2,3,2,13,"active"
"129",6,19,4,3,2,15,"active"
"130",6,20,4,4,2,18,"active"
"131",6,21,3,3,3,20,"active"
"132",6,22,4,2,4,24,"active"
"133",7,1,3,3,4,26,"passive"
"134",7,2,4,2,2,12,"passive"
"135",7,3,2,3,4,25,"passive"
"136",7,4,4,3,2,15,"passive"
"137",7,5,2,2,2,10,"passive"
"138",7,6,4,4,4,30,"passive"
"139",7,7,3,2,4,23,"passive"
"140",7,8,2,2,3,16,"passive"
"141",7,9,3,2,2,11,"passive"
"142",7,10,4,4,3,24,"passive"
"143",7,11,2,3,3,19,"passive"
"144",7,12,2,3,2,13,"passive"
"145",7,13,2,4,4,28,"passive"
"146",7,14,2,2,4,22,"passive"
"147",7,15,3,3,2,14,"passive"
"148",7,16,4,3,3,21,"passive"
"149",7,17,4,2,4,24,"passive"
"150",7,18,2,4,2,16,"passive"
"151",7,19,3,4,4,29,"passive"
"152",7,20,3,3,3,20,"passive"
"153",7,21,4,3,4,27,"passive"
"154",7,22,4,4,2,18,"passive"
"155",8,1,4,4,2,28,"active"
"156",8,2,4,4,3,29,"active"
"157",8,3,2,3,2,16,"active"
"158",8,4,3,3,3,20,"active"
"159",8,5,4,2,2,16,"active"
"160",8,6,3,2,3,14,"active"
"161",8,7,3,2,4,15,"active"
"162",8,8,2,3,4,18,"active"
"163",8,9,4,3,2,22,"active"
"164",8,10,2,4,4,24,"active"
"165",8,11,2,2,4,12,"active"
"166",8,12,2,3,3,17,"active"
"167",8,13,4,4,4,30,"active"
"168",8,14,3,4,3,26,"active"
"169",8,15,3,3,2,19,"active"
"170",8,16,3,3,4,21,"active"
"171",8,17,4,3,3,23,"active"
"172",8,18,4,2,3,17,"active"
"173",8,19,2,2,2,10,"active"
