"","id","cond","error","counter"
"1",1,"active",5,0
"2",1,"active",7,0
"3",1,"active",11,0
"4",1,"active",4,0
"5",1,"active",13,0
"6",1,"active",14,0
"7",1,"active",3,0
"8",1,"active",0,0
"9",2,"passive",15,0
"10",2,"passive",5,0
"11",2,"passive",15,0
"12",2,"passive",13,0
"13",2,"passive",7,0
"14",2,"passive",13,0
"15",2,"passive",7,0
"16",2,"passive",5,0
"17",3,"passive",6,1
"18",3,"passive",2,1
"19",3,"passive",5,1
"20",3,"passive",6,1
"21",3,"passive",8,1
"22",3,"passive",0,1
"23",3,"passive",4,1
"24",3,"passive",7,1
"25",4,"passive",14,8
"26",4,"passive",23,8
"27",4,"passive",8,8
"28",4,"passive",2,8
"29",4,"passive",21,8
"30",4,"passive",2,8
"31",4,"passive",5,8
"32",4,"passive",4,8
"33",5,"passive",12,0
"34",5,"passive",6,0
"35",5,"passive",8,0
"36",5,"passive",10,0
"37",5,"passive",0,0
"38",5,"passive",1,0
"39",5,"passive",5,0
"40",5,"passive",12,0
"41",6,"active",8,1
"42",6,"active",2,1
"43",6,"active",0,1
"44",6,"active",7,1
"45",6,"active",7,1
"46",6,"active",8,1
"47",6,"active",4,1
"48",6,"active",4,1
"49",7,"passive",21,0
"50",7,"passive",3,0
"51",7,"passive",0,0
"52",7,"passive",24,0
"53",7,"passive",5,0
"54",7,"passive",18,0
"55",7,"passive",2,0
"56",7,"passive",6,0
"57",8,"active",3,0
"58",8,"active",16,0
"59",8,"active",21,0
"60",8,"active",0,0
"61",8,"active",10,0
"62",8,"active",3,0
"63",8,"active",32,0
"64",8,"active",11,0
"65",9,"passive",28,4
"66",9,"passive",16,4
"67",9,"passive",4,4
"68",9,"passive",36,4
"69",9,"passive",40,4
"70",9,"passive",12,4
"71",9,"passive",0,4
"72",9,"passive",24,4
"73",10,"active",0,0
"74",10,"active",36,0
"75",10,"active",4,0
"76",10,"active",12,0
"77",10,"active",40,0
"78",10,"active",28,0
"79",10,"active",24,0
"80",10,"active",6,0
"81",11,"passive",4,4
"82",11,"passive",25,4
"83",11,"passive",25,4
"84",11,"passive",17,4
"85",11,"passive",3,4
"86",11,"passive",5,4
"87",11,"passive",3,4
"88",11,"passive",5,4
"89",12,"passive",12,1
"90",12,"passive",0,1
"91",12,"passive",3,1
"92",12,"passive",1,1
"93",12,"passive",11,1
"94",12,"passive",2,1
"95",12,"passive",11,1
"96",12,"passive",4,1
"97",13,"active",2,1
"98",13,"active",3,1
"99",13,"active",2,1
"100",13,"active",2,1
"101",13,"active",2,1
"102",13,"active",2,1
"103",13,"active",0,1
"104",13,"active",1,1
"105",14,"active",10,5
"106",14,"active",20,5
"107",14,"active",23,5
"108",14,"active",9,5
"109",14,"active",0,5
"110",14,"active",3,5
"111",14,"active",13,5
"112",14,"active",6,5
"113",15,"active",28,0
"114",15,"active",12,0
"115",15,"active",24,0
"116",15,"active",16,0
"117",15,"active",36,0
"118",15,"active",0,0
"119",15,"active",4,0
"120",15,"active",40,0
"121",16,"passive",4,3
"122",16,"passive",36,3
"123",16,"passive",0,3
"124",16,"passive",8,3
"125",16,"passive",12,3
"126",16,"passive",9,3
"127",16,"passive",16,3
"128",16,"passive",40,3
"129",17,"active",12,0
"130",17,"active",0,0
"131",17,"active",36,0
"132",17,"active",16,0
"133",17,"active",40,0
"134",17,"active",24,0
"135",17,"active",28,0
"136",17,"active",4,0
"137",18,"passive",5,1
"138",18,"passive",2,1
"139",18,"passive",2,1
"140",18,"passive",4,1
