"","x"
"1",0.0365231030634056
"2",0.0280818673189797
"3",-0.00657241040044121
"4",0.0241699946721704
"5",0.0562502313906477
"6",0.0234534564792156
"7",0.00437045605450137
"8",-0.0246844187499031
"9",0.0324770931934731
"10",-0.00630736557620759
"11",0.079434553083426
"12",0.0746521373093285
"13",0.0584544313741995
"14",0.0299159220600453
"15",0.1841944975913
"16",0.00610855114574582
"17",0.0844448713639123
"18",0.00624926483365273
"19",0.0724105449417671
"20",0.0124444706522525
"21",0.031435377005957
"22",0.113765798631918
"23",0.0428887278828898
"24",0.017900515549694
"25",-0.0147731918412171
"26",0.0108135513978277
"27",0.00712294476687769
"28",0.00447465167538008
"29",-0.0402286139748438
"30",0.00945540452219529
"31",0.0824862291429719
"32",-0.0225260302382997
"33",0.063517392154853
"34",0.0487470229624536
"35",0.135737058517932
"36",-0.0199773395410454
"37",-0.0160755520556277
"38",0.0743565923012222
"39",0.221351697587832
"40",0.160030577318999
"41",0.0106036672643786
"42",-0.0328854838081318
"43",0.0408357550347582
"44",0.0482542590134385
"45",0.0194802957723255
