"","x"
"1",-0.0227763118513014
"2",-0.0213875452094849
"3",-0.027736226883802
"4",-0.0266522303246444
"5",-0.0358904637343769
"6",-0.0203530650148194
"7",-0.028577909294484
"8",-0.0289145101190758
"9",-0.0269925907196755
"10",-0.0354369533530889
"11",-0.0243015567083307
"12",-0.0336127039246099
"13",-0.0296960023169597
"14",-0.0211130576129868
"15",-0.0263599230765734
"16",-0.0233588255517647
"17",-0.0157516160294591
"18",-0.0307449953036347
"19",-0.0239429911033213
"20",-0.0198295424998072
"21",-0.0259685383894142
"22",-0.0198890781777523
"23",-0.0290500501350048
"24",-0.0333231261391691
"25",-0.0220969239474662
"26",-0.0205608483751514
"27",-0.0253789868007099
"28",-0.0215633369153889
"29",-0.0299081273322888
"30",-0.0168099299687077
"31",-0.0342050430666379
"32",-0.0156974041032161
"33",-0.0255944557683374
"34",-0.0250026739884419
"35",-0.0271008409978324
"36",-0.0169104178267983
"37",-0.0193383562055662
"38",-0.0314366215475004
"39",-0.0260655616710994
"40",-0.0191323015450937
"41",-0.00260496528449437
"42",-0.0383724006404684
"43",-0.030664994320889
"44",-0.0264585519715579
"45",-0.013265847335554
