"","id","cond","error","counter"
"1",1,"active",1,0
"2",1,"active",2,0
"3",1,"active",8,0
"4",1,"active",5,0
"5",1,"active",1,0
"6",2,"passive",8,0
"7",2,"passive",3,0
"8",2,"passive",4,0
"9",2,"passive",6,0
"10",2,"passive",8,0
"11",3,"passive",7,1
"12",3,"passive",21,1
"13",3,"passive",6,1
"14",3,"passive",4,1
"15",3,"passive",6,1
"16",4,"passive",8,8
"17",4,"passive",4,8
"18",4,"passive",5,8
"19",4,"passive",2,8
"20",4,"passive",11,8
"21",5,"passive",2,0
"22",5,"passive",3,0
"23",5,"passive",3,0
"24",5,"passive",3,0
"25",5,"passive",4,0
"26",6,"active",4,1
"27",6,"active",1,1
"28",6,"active",3,1
"29",6,"active",2,1
"30",6,"active",2,1
"31",7,"passive",1,0
"32",7,"passive",12,0
"33",7,"passive",2,0
"34",7,"passive",13,0
"35",7,"passive",6,0
"36",8,"active",0,0
"37",8,"active",3,0
"38",8,"active",13,0
"39",8,"active",0,0
"40",8,"active",2,0
"41",9,"passive",17,4
"42",9,"passive",30,4
"43",9,"passive",12,4
"44",9,"passive",27,4
"45",9,"passive",14,4
"46",10,"active",14,0
"47",10,"active",23,0
"48",10,"active",20,0
"49",10,"active",22,0
"50",10,"active",5,0
"51",11,"passive",3,4
"52",11,"passive",2,4
"53",11,"passive",16,4
"54",11,"passive",4,4
"55",11,"passive",9,4
"56",12,"passive",0,1
"57",12,"passive",2,1
"58",12,"passive",6,1
"59",12,"passive",7,1
"60",12,"passive",2,1
"61",13,"active",3,1
"62",13,"active",0,1
"63",13,"active",1,1
"64",13,"active",5,1
"65",13,"active",2,1
"66",14,"active",11,5
"67",14,"active",1,5
"68",14,"active",4,5
"69",14,"active",3,5
"70",14,"active",17,5
"71",15,"active",15,0
"72",15,"active",24,0
"73",15,"active",19,0
"74",15,"active",28,0
"75",15,"active",11,0
"76",16,"passive",5,3
"77",16,"passive",16,3
"78",16,"passive",5,3
"79",16,"passive",28,3
"80",16,"passive",8,3
"81",17,"active",26,0
"82",17,"active",27,0
"83",17,"active",24,0
"84",17,"active",19,0
"85",17,"active",17,0
"86",18,"passive",3,1
"87",18,"passive",2,1
"88",18,"passive",5,1
"89",18,"passive",0,1
"90",18,"passive",2,1
"91",19,"active",16,2
"92",19,"active",19,2
"93",19,"active",25,2
"94",19,"active",13,2
"95",19,"active",15,2
"96",20,"passive",4,0
"97",20,"passive",3,0
"98",20,"passive",10,0
"99",20,"passive",1,0
"100",20,"passive",2,0
"101",21,"passive",17,0
"102",21,"passive",2,0
"103",21,"passive",4,0
"104",21,"passive",1,0
"105",21,"passive",0,0
"106",22,"passive",19,5
"107",22,"passive",24,5
"108",22,"passive",17,5
"109",22,"passive",24,5
"110",22,"passive",16,5
"111",23,"active",8,1
"112",23,"active",8,1
"113",23,"active",12,1
"114",23,"active",2,1
"115",23,"active",4,1
"116",24,"passive",16,7
"117",24,"passive",17,7
"118",24,"passive",30,7
"119",24,"passive",26,7
"120",24,"passive",24,7
"121",25,"active",8,1
"122",25,"active",10,1
"123",25,"active",7,1
"124",25,"active",1,1
"125",25,"active",2,1
"126",26,"passive",9,0
"127",26,"passive",10,0
"128",26,"passive",13,0
"129",26,"passive",9,0
"130",26,"passive",6,0
"131",27,"passive",1,0
"132",27,"passive",6,0
"133",27,"passive",3,0
"134",27,"passive",3,0
"135",27,"passive",3,0
"136",28,"active",1,0
"137",28,"active",2,0
"138",28,"active",3,0
"139",28,"active",3,0
"140",28,"active",6,0
"141",29,"active",3,2
"142",29,"active",4,2
"143",29,"active",6,2
"144",29,"active",2,2
"145",29,"active",4,2
"146",30,"passive",2,0
"147",30,"passive",2,0
"148",30,"passive",1,0
"149",30,"passive",5,0
"150",30,"passive",1,0
"151",31,"active",3,0
"152",31,"active",1,0
"153",31,"active",1,0
"154",31,"active",1,0
"155",31,"active",3,0
"156",32,"passive",4,0
"157",32,"passive",3,0
"158",32,"passive",2,0
"159",32,"passive",1,0
"160",32,"passive",0,0
"161",33,"active",7,2
"162",33,"active",9,2
"163",33,"active",11,2
"164",33,"active",7,2
"165",33,"active",16,2
"166",34,"active",19,0
"167",34,"active",26,0
"168",34,"active",23,0
"169",34,"active",25,0
"170",34,"active",15,0
"171",35,"passive",25,0
"172",35,"passive",26,0
"173",35,"passive",21,0
"174",35,"passive",16,0
"175",35,"passive",24,0
"176",36,"active",7,0
"177",36,"active",4,0
"178",36,"active",11,0
"179",36,"active",7,0
"180",36,"active",3,0
"181",37,"active",6,5
"182",37,"active",3,5
"183",37,"active",4,5
"184",37,"active",2,5
"185",37,"active",4,5
"186",38,"active",4,0
"187",38,"active",8,0
"188",38,"active",8,0
"189",38,"active",5,0
"190",38,"active",4,0
"191",39,"active",2,0
"192",39,"active",6,0
"193",39,"active",3,0
"194",39,"active",5,0
"195",39,"active",1,0
"196",40,"passive",23,0
"197",40,"passive",4,0
"198",40,"passive",3,0
"199",40,"passive",1,0
"200",40,"passive",3,0
"201",41,"active",2,1
"202",41,"active",4,1
"203",41,"active",1,1
"204",41,"active",1,1
"205",41,"active",5,1
"206",42,"active",6,0
"207",42,"active",2,0
"208",42,"active",6,0
"209",42,"active",2,0
"210",42,"active",5,0
"211",43,"passive",7,0
"212",43,"passive",2,0
"213",43,"passive",2,0
"214",43,"passive",7,0
"215",43,"passive",5,0
"216",44,"active",4,1
"217",44,"active",3,1
"218",44,"active",1,1
"219",44,"active",1,1
"220",44,"active",4,1
"221",45,"active",4,1
"222",45,"active",1,1
"223",45,"active",8,1
"224",45,"active",2,1
"225",45,"active",6,1
"226",46,"active",1,0
"227",46,"active",4,0
"228",46,"active",15,0
"229",46,"active",2,0
"230",46,"active",16,0
"231",47,"active",9,2
"232",47,"active",19,2
"233",47,"active",7,2
"234",47,"active",4,2
"235",47,"active",4,2
"236",48,"passive",0,0
"237",48,"passive",1,0
"238",48,"passive",0,0
"239",48,"passive",0,0
"240",48,"passive",1,0
"241",49,"active",0,1
"242",49,"active",4,1
"243",49,"active",5,1
"244",49,"active",19,1
"245",49,"active",2,1
"246",50,"active",7,18
"247",50,"active",7,18
"248",50,"active",5,18
"249",50,"active",8,18
"250",50,"active",1,18
"251",51,"active",1,0
"252",51,"active",2,0
"253",51,"active",2,0
"254",51,"active",2,0
"255",51,"active",2,0
"256",52,"passive",6,5
"257",52,"passive",14,5
"258",52,"passive",10,5
"259",52,"passive",8,5
"260",52,"passive",2,5
"261",53,"passive",1,1
"262",53,"passive",7,1
"263",53,"passive",0,1
"264",53,"passive",7,1
"265",53,"passive",4,1
"266",54,"passive",6,0
"267",54,"passive",8,0
"268",54,"passive",2,0
"269",54,"passive",2,0
"270",54,"passive",1,0
"271",55,"active",2,0
"272",55,"active",1,0
"273",55,"active",3,0
"274",55,"active",6,0
"275",55,"active",4,0
"276",56,"passive",0,0
"277",56,"passive",0,0
"278",56,"passive",0,0
"279",56,"passive",1,0
"280",56,"passive",0,0
"281",57,"passive",7,0
"282",57,"passive",0,0
"283",57,"passive",3,0
"284",57,"passive",8,0
"285",57,"passive",2,0
"286",58,"passive",3,0
"287",58,"passive",1,0
"288",58,"passive",13,0
"289",58,"passive",17,0
"290",58,"passive",1,0
"291",59,"passive",0,0
"292",59,"passive",0,0
"293",59,"passive",0,0
"294",59,"passive",0,0
"295",59,"passive",10,0
"296",60,"active",2,0
"297",60,"active",2,0
"298",60,"active",0,0
"299",60,"active",0,0
"300",60,"active",7,0
"301",61,"active",17,0
"302",61,"active",24,0
"303",61,"active",16,0
"304",61,"active",26,0
"305",61,"active",28,0
"306",62,"passive",18,1
"307",62,"passive",4,1
"308",62,"passive",1,1
"309",62,"passive",14,1
"310",62,"passive",6,1
"311",63,"passive",2,1
"312",63,"passive",2,1
"313",63,"passive",6,1
"314",63,"passive",2,1
"315",63,"passive",4,1
"316",64,"active",3,1
"317",64,"active",0,1
"318",64,"active",5,1
"319",64,"active",1,1
"320",64,"active",2,1
"321",65,"passive",5,0
"322",65,"passive",2,0
"323",65,"passive",2,0
"324",65,"passive",0,0
"325",65,"passive",1,0
"326",66,"passive",5,1
"327",66,"passive",1,1
"328",66,"passive",12,1
"329",66,"passive",10,1
"330",66,"passive",13,1
"331",67,"passive",2,2
"332",67,"passive",9,2
"333",67,"passive",1,2
"334",67,"passive",10,2
"335",67,"passive",11,2
"336",68,"passive",6,0
"337",68,"passive",10,0
"338",68,"passive",7,0
"339",68,"passive",7,0
"340",68,"passive",5,0
"341",69,"active",11,0
"342",69,"active",13,0
"343",69,"active",25,0
"344",69,"active",23,0
"345",69,"active",16,0
"346",70,"passive",1,0
"347",70,"passive",4,0
"348",70,"passive",3,0
"349",70,"passive",0,0
"350",70,"passive",0,0
"351",71,"passive",9,0
"352",71,"passive",11,0
"353",71,"passive",8,0
"354",71,"passive",18,0
"355",71,"passive",6,0
"356",72,"passive",22,2
"357",72,"passive",30,2
"358",72,"passive",24,2
"359",72,"passive",24,2
"360",72,"passive",18,2
"361",73,"active",5,0
"362",73,"active",0,0
"363",73,"active",7,0
"364",73,"active",4,0
"365",73,"active",0,0
"366",74,"passive",1,0
"367",74,"passive",1,0
"368",74,"passive",2,0
"369",74,"passive",2,0
"370",74,"passive",4,0
"371",75,"active",23,0
"372",75,"active",23,0
"373",75,"active",17,0
"374",75,"active",25,0
"375",75,"active",22,0
"376",76,"passive",5,0
"377",76,"passive",6,0
"378",76,"passive",2,0
"379",76,"passive",3,0
"380",76,"passive",1,0
"381",77,"passive",19,1
"382",77,"passive",22,1
"383",77,"passive",27,1
"384",77,"passive",25,1
"385",77,"passive",30,1
"386",78,"active",0,0
"387",78,"active",0,0
"388",78,"active",0,0
"389",78,"active",0,0
"390",78,"active",0,0
"391",79,"passive",18,0
"392",79,"passive",6,0
"393",79,"passive",12,0
"394",79,"passive",5,0
"395",79,"passive",1,0
"396",80,"active",11,3
"397",80,"active",5,3
"398",80,"active",2,3
"399",80,"active",2,3
"400",80,"active",6,3
"401",81,"passive",26,4
"402",81,"passive",25,4
"403",81,"passive",18,4
