"","condition","recall","interpolation","extrapolation","inst"
"1",2,19,17,57,0
"2",1,22,29,80,0
"3",1,18,44,38,1
"4",3,48,30,79,8
"5",3,0,15,54,0
"6",0,26,12,40,1
"7",1,15,34,79,0
"8",0,17,18,96,0
"9",1,103,100,160,4
"10",0,77,84,150,0
"11",3,34,34,87,4
"12",3,29,17,44,1
"13",2,20,11,14,1
"14",0,31,36,84,5
"15",2,101,97,160,0
"16",1,70,62,125,3
"17",2,114,113,160,0
"18",1,12,12,29,1
"19",0,111,88,160,2
"20",1,8,20,31,0
"21",3,9,24,48,0
"22",1,114,100,160,5
"23",0,39,34,82,1
"24",3,82,113,160,7
"25",2,16,28,44,1
"26",3,63,47,110,0
"27",1,14,16,50,0
"28",2,37,15,41,0
"29",0,20,19,42,2
"30",3,8,11,38,0
"31",0,17,9,31,0
"32",1,13,10,34,0
"33",0,33,50,46,2
"34",2,114,108,160,0
"35",3,102,112,160,0
"36",0,11,32,34,0
"37",0,22,19,51,5
"38",2,18,29,54,0
"39",2,11,17,60,0
"40",1,82,34,120,0
"41",0,19,13,24,1
"42",2,8,21,50,0
"43",1,22,23,61,0
"44",2,12,13,32,1
"45",2,26,21,39,1
"46",2,31,38,102,0
"47",0,35,43,107,2
"48",3,0,2,38,0
"49",0,24,30,132,1
"50",2,35,28,87,18
"51",0,0,9,57,0
"52",1,36,40,82,5
"53",3,20,19,96,1
"54",3,16,19,53,0
"55",2,9,16,49,0
"56",1,7,1,37,0
"57",3,18,20,35,0
"58",1,46,35,82,0
"59",1,0,10,0,0
"60",0,0,11,39,0
"61",0,111,111,160,0
"62",1,23,43,90,1
"63",3,32,16,32,1
"64",0,11,11,35,1
"65",3,9,10,48,0
"66",1,38,41,67,1
"67",3,23,33,108,2
"68",1,17,35,42,0
"69",0,88,88,160,0
"70",3,9,8,42,0
"71",3,28,52,98,0
"72",3,94,118,160,2
"73",2,17,16,61,0
"74",3,10,10,20,0
"75",2,92,110,160,0
"76",1,5,17,38,0
"77",3,112,123,160,1
"78",2,0,0,20,0
"79",3,42,42,117,0
"80",2,37,26,67,3
"81",1,100,118,176,4
"82",0,18,28,36,1
"83",2,20,24,66,0
"84",0,21,9,37,0
"85",2,6,19,23,0
"86",3,89,96,160,0
"87",3,94,84,160,0
"88",0,85,87,160,1
"89",2,2,13,59,0
"90",3,9,20,51,0
"91",2,51,59,114,0
"92",3,26,29,67,0
"93",3,35,33,119,0
"94",3,14,6,28,0
"95",1,111,88,160,0
"96",1,0,0,6,1
"97",1,56,59,100,6
"98",3,29,23,37,0
