"","id","cond","error","counter"
"1",1,"active",3,0
"2",1,"active",3,0
"3",1,"active",3,0
"4",1,"active",2,0
"5",1,"active",8,0
"6",2,"passive",6,0
"7",2,"passive",6,0
"8",2,"passive",8,0
"9",2,"passive",1,0
"10",2,"passive",1,0
"11",3,"passive",1,1
"12",3,"passive",8,1
"13",3,"passive",2,1
"14",3,"passive",3,1
"15",3,"passive",4,1
"16",4,"passive",3,8
"17",4,"passive",4,8
"18",4,"passive",14,8
"19",4,"passive",12,8
"20",4,"passive",15,8
"21",5,"passive",0,0
"22",5,"passive",0,0
"23",5,"passive",0,0
"24",5,"passive",0,0
"25",5,"passive",0,0
"26",6,"active",7,1
"27",6,"active",5,1
"28",6,"active",9,1
"29",6,"active",2,1
"30",6,"active",3,1
"31",7,"passive",2,0
"32",7,"passive",2,0
"33",7,"passive",4,0
"34",7,"passive",5,0
"35",7,"passive",2,0
"36",8,"active",10,0
"37",8,"active",1,0
"38",8,"active",3,0
"39",8,"active",3,0
"40",8,"active",0,0
"41",9,"passive",11,4
"42",9,"passive",23,4
"43",9,"passive",29,4
"44",9,"passive",16,4
"45",9,"passive",24,4
"46",10,"active",16,0
"47",10,"active",16,0
"48",10,"active",28,0
"49",10,"active",17,0
"50",10,"active",0,0
"51",11,"passive",2,4
"52",11,"passive",4,4
"53",11,"passive",9,4
"54",11,"passive",11,4
"55",11,"passive",8,4
"56",12,"passive",6,1
"57",12,"passive",8,1
"58",12,"passive",7,1
"59",12,"passive",6,1
"60",12,"passive",2,1
"61",13,"active",1,1
"62",13,"active",3,1
"63",13,"active",7,1
"64",13,"active",4,1
"65",13,"active",5,1
"66",14,"active",1,5
"67",14,"active",6,5
"68",14,"active",9,5
"69",14,"active",10,5
"70",14,"active",5,5
"71",15,"active",21,0
"72",15,"active",27,0
"73",15,"active",23,0
"74",15,"active",16,0
"75",15,"active",14,0
"76",16,"passive",22,3
"77",16,"passive",13,3
"78",16,"passive",11,3
"79",16,"passive",19,3
"80",16,"passive",5,3
"81",17,"active",21,0
"82",17,"active",25,0
"83",17,"active",29,0
"84",17,"active",15,0
"85",17,"active",24,0
"86",18,"passive",5,1
"87",18,"passive",4,1
"88",18,"passive",2,1
"89",18,"passive",1,1
"90",18,"passive",0,1
"91",19,"active",29,2
"92",19,"active",27,2
"93",19,"active",20,2
"94",19,"active",14,2
"95",19,"active",21,2
"96",20,"passive",0,0
"97",20,"passive",4,0
"98",20,"passive",2,0
"99",20,"passive",2,0
"100",20,"passive",0,0
"101",21,"passive",3,0
"102",21,"passive",2,0
"103",21,"passive",3,0
"104",21,"passive",1,0
"105",21,"passive",0,0
"106",22,"passive",30,5
"107",22,"passive",11,5
"108",22,"passive",23,5
"109",22,"passive",21,5
"110",22,"passive",29,5
"111",23,"active",7,1
"112",23,"active",13,1
"113",23,"active",1,1
"114",23,"active",7,1
"115",23,"active",11,1
"116",24,"passive",13,7
"117",24,"passive",24,7
"118",24,"passive",14,7
"119",24,"passive",10,7
"120",24,"passive",21,7
"121",25,"active",9,1
"122",25,"active",2,1
"123",25,"active",1,1
"124",25,"active",3,1
"125",25,"active",1,1
"126",26,"passive",19,0
"127",26,"passive",0,0
"128",26,"passive",19,0
"129",26,"passive",12,0
"130",26,"passive",13,0
"131",27,"passive",3,0
"132",27,"passive",4,0
"133",27,"passive",0,0
"134",27,"passive",7,0
"135",27,"passive",0,0
"136",28,"active",6,0
"137",28,"active",4,0
"138",28,"active",8,0
"139",28,"active",13,0
"140",28,"active",6,0
"141",29,"active",7,2
"142",29,"active",7,2
"143",29,"active",4,2
"144",29,"active",1,2
"145",29,"active",1,2
"146",30,"passive",2,0
"147",30,"passive",2,0
"148",30,"passive",1,0
"149",30,"passive",3,0
"150",30,"passive",0,0
"151",31,"active",9,0
"152",31,"active",4,0
"153",31,"active",1,0
"154",31,"active",2,0
"155",31,"active",1,0
"156",32,"passive",0,0
"157",32,"passive",3,0
"158",32,"passive",4,0
"159",32,"passive",2,0
"160",32,"passive",4,0
"161",33,"active",0,2
"162",33,"active",5,2
"163",33,"active",8,2
"164",33,"active",7,2
"165",33,"active",13,2
"166",34,"active",18,0
"167",34,"active",24,0
"168",34,"active",16,0
"169",34,"active",27,0
"170",34,"active",29,0
"171",35,"passive",14,0
"172",35,"passive",13,0
"173",35,"passive",30,0
"174",35,"passive",23,0
"175",35,"passive",22,0
"176",36,"active",0,0
"177",36,"active",2,0
"178",36,"active",4,0
"179",36,"active",5,0
"180",36,"active",0,0
"181",37,"active",5,5
"182",37,"active",7,5
"183",37,"active",5,5
"184",37,"active",2,5
"185",37,"active",3,5
"186",38,"active",1,0
"187",38,"active",2,0
"188",38,"active",4,0
"189",38,"active",7,0
"190",38,"active",4,0
"191",39,"active",1,0
"192",39,"active",1,0
"193",39,"active",3,0
"194",39,"active",3,0
"195",39,"active",3,0
"196",40,"passive",12,0
"197",40,"passive",25,0
"198",40,"passive",10,0
"199",40,"passive",24,0
"200",40,"passive",11,0
"201",41,"active",10,1
"202",41,"active",0,1
"203",41,"active",2,1
"204",41,"active",5,1
"205",41,"active",2,1
"206",42,"active",2,0
"207",42,"active",1,0
"208",42,"active",3,0
"209",42,"active",1,0
"210",42,"active",1,0
"211",43,"passive",3,0
"212",43,"passive",10,0
"213",43,"passive",5,0
"214",43,"passive",2,0
"215",43,"passive",2,0
"216",44,"active",5,1
"217",44,"active",4,1
"218",44,"active",1,1
"219",44,"active",2,1
"220",44,"active",0,1
"221",45,"active",8,1
"222",45,"active",10,1
"223",45,"active",4,1
"224",45,"active",3,1
"225",45,"active",1,1
"226",46,"active",4,0
"227",46,"active",1,0
"228",46,"active",15,0
"229",46,"active",7,0
"230",46,"active",4,0
"231",47,"active",3,2
"232",47,"active",8,2
"233",47,"active",12,2
"234",47,"active",10,2
"235",47,"active",2,2
"236",48,"passive",0,0
"237",48,"passive",0,0
"238",48,"passive",0,0
"239",48,"passive",0,0
"240",48,"passive",0,0
"241",49,"active",3,1
"242",49,"active",13,1
"243",49,"active",4,1
"244",49,"active",0,1
"245",49,"active",4,1
"246",50,"active",1,18
"247",50,"active",14,18
"248",50,"active",5,18
"249",50,"active",8,18
"250",50,"active",7,18
"251",51,"active",0,0
"252",51,"active",0,0
"253",51,"active",0,0
"254",51,"active",0,0
"255",51,"active",0,0
"256",52,"passive",2,5
"257",52,"passive",8,5
"258",52,"passive",5,5
"259",52,"passive",20,5
"260",52,"passive",1,5
"261",53,"passive",3,1
"262",53,"passive",14,1
"263",53,"passive",0,1
"264",53,"passive",2,1
"265",53,"passive",1,1
"266",54,"passive",5,0
"267",54,"passive",1,0
"268",54,"passive",0,0
"269",54,"passive",5,0
"270",54,"passive",5,0
"271",55,"active",1,0
"272",55,"active",3,0
"273",55,"active",1,0
"274",55,"active",1,0
"275",55,"active",3,0
"276",56,"passive",2,0
"277",56,"passive",0,0
"278",56,"passive",0,0
"279",56,"passive",4,0
"280",56,"passive",1,0
"281",57,"passive",2,0
"282",57,"passive",3,0
"283",57,"passive",7,0
"284",57,"passive",4,0
"285",57,"passive",2,0
"286",58,"passive",14,0
"287",58,"passive",12,0
"288",58,"passive",7,0
"289",58,"passive",9,0
"290",58,"passive",4,0
"291",59,"passive",0,0
"292",59,"passive",0,0
"293",59,"passive",0,0
"294",59,"passive",0,0
"295",59,"passive",0,0
"296",60,"active",0,0
"297",60,"active",0,0
"298",60,"active",0,0
"299",60,"active",0,0
"300",60,"active",0,0
"301",61,"active",24,0
"302",61,"active",23,0
"303",61,"active",22,0
"304",61,"active",12,0
"305",61,"active",30,0
"306",62,"passive",2,1
"307",62,"passive",2,1
"308",62,"passive",13,1
"309",62,"passive",3,1
"310",62,"passive",3,1
"311",63,"passive",14,1
"312",63,"passive",2,1
"313",63,"passive",4,1
"314",63,"passive",6,1
"315",63,"passive",6,1
"316",64,"active",0,1
"317",64,"active",1,1
"318",64,"active",1,1
"319",64,"active",7,1
"320",64,"active",2,1
"321",65,"passive",0,0
"322",65,"passive",3,0
"323",65,"passive",2,0
"324",65,"passive",3,0
"325",65,"passive",1,0
"326",66,"passive",5,1
"327",66,"passive",10,1
"328",66,"passive",13,1
"329",66,"passive",8,1
"330",66,"passive",2,1
"331",67,"passive",6,2
"332",67,"passive",9,2
"333",67,"passive",1,2
"334",67,"passive",1,2
"335",67,"passive",6,2
"336",68,"passive",6,0
"337",68,"passive",0,0
"338",68,"passive",5,0
"339",68,"passive",3,0
"340",68,"passive",3,0
"341",69,"active",24,0
"342",69,"active",16,0
"343",69,"active",17,0
"344",69,"active",19,0
"345",69,"active",12,0
"346",70,"passive",3,0
"347",70,"passive",0,0
"348",70,"passive",6,0
"349",70,"passive",0,0
"350",70,"passive",0,0
"351",71,"passive",3,0
"352",71,"passive",16,0
"353",71,"passive",2,0
"354",71,"passive",2,0
"355",71,"passive",5,0
"356",72,"passive",10,2
"357",72,"passive",20,2
"358",72,"passive",16,2
"359",72,"passive",19,2
"360",72,"passive",29,2
"361",73,"active",0,0
"362",73,"active",3,0
"363",73,"active",7,0
"364",73,"active",1,0
"365",73,"active",6,0
"366",74,"passive",3,0
"367",74,"passive",1,0
"368",74,"passive",4,0
"369",74,"passive",0,0
"370",74,"passive",2,0
"371",75,"active",22,0
"372",75,"active",15,0
"373",75,"active",28,0
"374",75,"active",11,0
"375",75,"active",16,0
"376",76,"passive",1,0
"377",76,"passive",3,0
"378",76,"passive",0,0
"379",76,"passive",0,0
"380",76,"passive",1,0
"381",77,"passive",16,1
"382",77,"passive",26,1
"383",77,"passive",28,1
"384",77,"passive",24,1
"385",77,"passive",18,1
"386",78,"active",0,0
"387",78,"active",0,0
"388",78,"active",0,0
"389",78,"active",0,0
"390",78,"active",0,0
"391",79,"passive",18,0
"392",79,"passive",3,0
"393",79,"passive",11,0
"394",79,"passive",8,0
"395",79,"passive",2,0
"396",80,"active",6,3
"397",80,"active",13,3
"398",80,"active",14,3
"399",80,"active",0,3
"400",80,"active",4,3
"401",81,"passive",24,4
"402",81,"passive",23,4
"403",81,"passive",23,4
"404",81,"passive",19,4
"405",81,"passive",11,4
"406",82,"active",0,1
"407",82,"active",1,1
"408",82,"active",3,1
"409",82,"active",6,1
"410",82,"active",8,1
"411",83,"active",5,0
"412",83,"active",5,0
"413",83,"active",2,0
"414",83,"active",3,0
"415",83,"active",5,0
"416",84,"active",5,0
"417",84,"active",5,0
"418",84,"active",4,0
"419",84,"active",3,0
"420",84,"active",4,0
"421",85,"active",0,0
"422",85,"active",2,0
"423",85,"active",2,0
"424",85,"active",0,0
"425",85,"active",2,0
"426",86,"passive",14,0
"427",86,"passive",17,0
"428",86,"passive",18,0
"429",86,"passive",25,0
"430",86,"passive",15,0
"431",87,"passive",18,0
"432",87,"passive",23,0
"433",87,"passive",12,0
"434",87,"passive",20,0
"435",87,"passive",21,0
"436",88,"active",23,1
"437",88,"active",10,1
"438",88,"active",21,1
"439",88,"active",13,1
"440",88,"active",18,1
"441",89,"active",1,0
"442",89,"active",0,0
"443",89,"active",0,0
"444",89,"active",0,0
"445",89,"active",1,0
"446",90,"passive",2,0
"447",90,"passive",0,0
"448",90,"passive",0,0
"449",90,"passive",4,0
"450",90,"passive",3,0
"451",91,"active",10,0
"452",91,"active",5,0
"453",91,"active",13,0
"454",91,"active",11,0
"455",91,"active",12,0
"456",92,"passive",8,0
"457",92,"passive",12,0
"458",92,"passive",2,0
"459",92,"passive",1,0
"460",92,"passive",3,0
"461",93,"passive",17,0
"462",93,"passive",0,0
"463",93,"passive",11,0
"464",93,"passive",0,0
"465",93,"passive",7,0
"466",94,"passive",1,0
"467",94,"passive",0,0
"468",94,"passive",1,0
"469",94,"passive",6,0
"470",94,"passive",6,0
"471",95,"passive",22,0
"472",95,"passive",19,0
"473",95,"passive",22,0
"474",95,"passive",27,0
"475",95,"passive",21,0
"476",96,"passive",0,1
"477",96,"passive",0,1
"478",96,"passive",0,1
"479",96,"passive",0,1
"480",96,"passive",0,1
"481",97,"passive",14,6
"482",97,"passive",16,6
"483",97,"passive",11,6
"484",97,"passive",4,6
"485",97,"passive",11,6
"486",98,"passive",6,0
"487",98,"passive",2,0
"488",98,"passive",6,0
"489",98,"passive",11,0
"490",98,"passive",4,0
